id_gatto,eta_mesi,razza,sesso,peso_nascita_kg,lunghezza_cm,altezza_spalla_cm,attivita_giornaliera,quantita_cibo_giorno_g,tipo_cibo,pelo_lungo,sterilizzato,temperatura_media_zona,vive_interno,peso_adulto_kg
1,108,Siamese,Maschio,0.15,52.9,26.1,3.8,126.3,Umido,0,0,27.4,1,7.47
2,57,Europeo,Maschio,0.09,48.7,24.1,2.0,90.2,Secco,0,1,19.8,1,6.32
3,98,Persiano,Femmina,0.1,55.8,25.9,5.8,93.4,Misto,1,1,8.8,0,7.15
4,20,Europeo,Femmina,0.13,43.0,27.6,6.4,83.1,Umido,0,1,20.3,0,4.47
5,112,Persiano,Femmina,0.13,50.3,38.4,5.5,108.7,Misto,1,1,16.9,0,7.14
6,77,Siamese,Femmina,0.14,62.7,21.9,2.9,85.8,Umido,0,0,23.6,1,5.97
7,66,Maine Coon,Maschio,0.09,59.8,26.6,2.1,82.9,Secco,1,1,23.1,0,6.46
8,26,Bengala,Maschio,0.11,54.5,25.5,3.5,85.5,Umido,0,0,14.2,1,4.69
9,108,Siamese,Maschio,0.11,58.0,32.7,7.7,73.3,Umido,0,1,16.2,1,7.61
10,88,Europeo,Femmina,0.1,56.5,34.3,2.2,114.3,Umido,0,0,15.8,1,7.26
11,92,Bengala,Maschio,0.13,48.6,28.8,5.2,108.8,Secco,0,1,15.9,1,6.76
12,80,Maine Coon,Femmina,0.14,54.0,25.8,3.9,88.0,Umido,1,0,10.1,0,6.15
13,80,Siamese,Femmina,0.11,46.4,31.9,5.4,88.7,Secco,0,0,19.9,0,6.56
14,93,Bengala,Femmina,0.15,46.9,21.4,2.1,66.6,Misto,0,1,18.4,1,6.61
15,105,Siamese,Maschio,0.1,44.2,19.5,3.6,57.7,Misto,0,1,16.4,1,6.51
16,109,Siamese,Femmina,0.15,58.7,43.4,2.7,67.8,Misto,0,1,19.4,0,7.24
17,29,Maine Coon,Femmina,0.13,49.0,22.4,2.7,108.3,Secco,1,0,,1,5.06
18,8,Persiano,Femmina,0.1,43.7,23.3,5.1,82.5,Umido,1,1,23.8,1,4.25
19,27,Bengala,Femmina,0.16,44.7,29.1,2.3,106.2,Misto,0,1,22.5,1,4.52
20,58,Maine Coon,Femmina,0.11,38.0,29.6,4.4,88.2,Misto,1,1,23.2,1,5.81
21,7,Siamese,Femmina,0.14,47.5,29.8,4.1,70.8,Umido,0,1,13.5,0,3.92
22,93,Maine Coon,Femmina,0.12,52.1,34.3,2.6,70.5,Misto,1,1,12.4,1,7.14
23,113,Persiano,Femmina,0.13,62.6,23.4,2.9,90.7,Misto,1,1,22.8,1,7.87
24,35,Bengala,Femmina,0.14,49.5,33.1,4.5,56.6,Umido,0,1,26.5,0,5.39
25,43,Persiano,Femmina,0.14,54.2,29.7,4.0,,Secco,1,1,22.2,0,5.62
26,7,Europeo,Femmina,0.11,45.6,27.2,4.1,79.1,Secco,0,1,19.6,0,4.3
27,69,Bengala,Femmina,0.13,53.2,30.6,3.7,103.8,Misto,0,1,18.0,1,6.2
28,65,Persiano,Maschio,0.13,58.0,17.1,3.6,92.9,Misto,1,1,32.3,1,5.76
29,26,Siamese,Maschio,0.12,46.3,25.3,4.0,91.7,Secco,0,1,22.2,0,5.2
30,38,Bengala,Femmina,0.12,52.1,22.1,6.2,101.7,Misto,0,0,17.0,1,5.16
31,81,Bengala,Femmina,0.12,50.0,23.5,4.8,110.3,Secco,0,1,27.9,0,6.35
32,63,Maine Coon,Femmina,0.16,50.4,25.7,3.8,88.6,Misto,1,1,26.6,0,5.63
33,27,Siamese,Maschio,0.11,58.9,30.5,2.4,64.1,Misto,0,1,10.8,1,4.67
34,113,Europeo,Maschio,0.14,60.8,32.1,3.4,90.6,Secco,0,1,11.9,0,8.1
35,94,Persiano,Maschio,0.11,50.6,31.9,2.6,,Umido,1,1,17.0,1,7.05
36,54,Maine Coon,Femmina,704.1,53.4,25.5,2.8,44.2,Misto,1,0,24.4,0,5.48
37,96,Persiano,Femmina,0.19,45.6,31.7,1.2,86.2,Misto,1,1,15.1,0,7.53
38,64,Europeo,Femmina,0.13,49.9,27.2,4.0,98.3,Umido,0,1,12.9,1,5.37
39,47,Europeo,Femmina,0.13,43.0,32.1,7.1,101.1,Misto,0,0,22.1,0,5.37
40,97,Bengala,Maschio,0.13,57.9,33.3,4.3,98.7,Umido,0,1,8.4,0,7.62
41,65,Europeo,Femmina,0.15,50.2,29.0,5.1,112.5,Umido,0,1,16.2,1,5.82
42,85,Persiano,Maschio,0.13,55.5,25.2,5.4,71.4,Secco,1,1,,0,6.44
43,20,Siamese,Maschio,0.14,52.4,27.4,3.6,79.4,Umido,0,1,18.0,0,4.64
44,67,Siamese,Femmina,0.1,48.5,29.6,3.7,61.7,Secco,0,0,13.3,0,5.64
45,67,Bengala,Maschio,0.14,48.7,28.9,1.9,92.8,Secco,0,1,17.2,1,5.95
46,52,Persiano,Maschio,0.12,49.9,25.2,4.3,113.2,Secco,1,1,20.1,0,5.91
47,67,Persiano,Maschio,0.13,45.7,25.1,4.1,77.3,Misto,1,1,18.6,1,5.83
48,56,Europeo,Maschio,0.09,50.5,29.4,2.7,99.8,Misto,0,1,15.3,1,5.67
49,113,Persiano,Femmina,0.13,56.6,26.4,5.7,76.0,Umido,1,0,16.3,1,7.05
50,60,Maine Coon,Femmina,0.08,52.6,26.7,2.8,98.5,Secco,1,1,29.3,0,6.0
51,69,Europeo,Maschio,0.11,54.8,31.4,8.3,51.9,Misto,0,0,22.4,1,5.86
52,8,Maine Coon,Femmina,0.09,34.6,,4.6,119.7,Misto,1,1,16.8,1,4.38
53,106,Bengala,Maschio,0.13,46.6,24.5,4.0,66.2,Umido,0,0,18.9,1,6.63
54,56,Siamese,Femmina,0.12,42.4,29.3,6.9,97.2,Misto,0,1,20.3,1,5.46
55,12,Bengala,Femmina,0.1,46.8,35.8,0.6,109.3,Misto,0,1,14.2,1,4.45
56,26,Siamese,Femmina,0.15,45.6,29.7,3.6,63.8,Misto,0,0,18.0,1,4.35
57,78,Bengala,Femmina,0.1,36.9,27.5,3.3,121.8,Misto,0,1,12.6,0,6.14
58,44,Persiano,Femmina,0.06,63.0,33.7,3.7,129.5,Misto,1,0,13.0,1,5.34
59,23,Maine Coon,Maschio,0.13,33.4,37.1,4.3,102.4,Misto,1,1,22.4,0,5.11
60,9,Siamese,Femmina,0.08,46.1,29.8,3.7,87.7,Umido,0,1,23.0,1,3.55
61,94,Europeo,Maschio,0.1,58.3,21.0,6.1,88.5,Secco,0,0,23.8,0,6.88
62,65,Maine Coon,Maschio,0.11,46.5,31.3,4.7,100.9,Misto,1,0,17.6,0,6.15
63,19,Europeo,Femmina,0.09,51.4,32.7,4.7,104.3,Secco,0,0,15.5,0,4.91
64,119,Maine Coon,Maschio,0.11,49.8,20.6,4.7,49.1,Umido,1,0,18.1,1,7.15
65,14,Maine Coon,Femmina,0.09,47.6,30.4,2.1,78.5,Umido,1,1,9.0,0,4.94
66,95,Bengala,Maschio,0.12,39.2,28.7,4.3,76.9,Secco,0,1,24.9,1,6.99
