id_gatto,peso_adulto_kg_previsto
4899,5.65
4900,5.92
4901,5.80
4902,7.26
4903,6.64
4904,5.95
4905,6.13
4906,5.44
4907,5.88
4908,5.01
4909,7.51
4910,5.35
4911,7.32
4912,5.46
4913,7.44
4914,7.22
4915,4.23
4916,6.59
4917,5.67
4918,7.29
4919,6.16
4920,5.15
4921,5.48
4922,6.12
4923,5.29
4924,4.78
4925,7.18
4926,4.74
4927,7.31
4928,5.76
4929,4.63
4930,5.61
4931,6.10
4932,4.44
4933,5.50
4934,5.73
4935,6.75
4936,6.08
4937,6.67
4938,6.08
4939,6.46
4940,5.55
4941,4.61
4942,6.93
4943,7.06
4944,4.26
4945,6.72
4946,4.26
4947,7.06
4948,4.46
4949,5.37
4950,7.30
4951,7.24
4952,6.98
4953,5.24
4954,6.65
4955,7.14
4956,6.18
4957,6.29
4958,5.77
4959,4.42
4960,6.82
4961,5.40
4962,7.07
4963,6.09
4964,5.50
4965,4.42
4966,6.08
4967,7.21
4968,5.60
4969,5.94
4970,5.85
4971,6.01
4972,6.73
4973,5.96
4974,6.76
4975,4.22
4976,7.38
4977,7.14
4978,4.54
4979,4.41
4980,6.94
4981,5.70
4982,7.23
4983,6.49
4984,5.13
4985,4.55
4986,4.44
4987,7.48
4988,5.47
4989,5.52
4990,7.00
4991,4.60
4992,7.16
4993,5.30
4994,6.39
4995,6.24
4996,5.35
4997,4.40
4998,4.55
4999,6.79
5000,4.53
